"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"58b0ba4c5210aa3686c3797adba419d1","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae","g__","s__"
"994ed99b4c47476ca4cebdde780c2bb1","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodospirillales"," f__Acetobacteraceae"," g__Roseomonas"," s__"
"b12d1a21c5547658bfb748577ec3ad6c","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhodobacterales"," f__Rhodobacteraceae"," g__Rhodobacter"," s__"
"c7e23e94fd7eb0801a78a8caf134d8c6","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacteriales"," f__Enterobacteriaceae","g__","s__"
"6d8991e667f66939da3482d0b4d51e5b","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas"," s__retroflexus"
"d54d928146bec67f8416815b48bf08d8","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__"," f__"," g__"," s__"
"6d1eaa21e6a9ad17deff6e171ed18d7a","k__Bacteria"," p__Actinobacteria"," c__Thermoleophilia"," o__Solirubrobacterales"," f__"," g__"," s__"
"b58273e12553c6872bb57cbf2caec769","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Clostridium"," s__baratii"
"ade845fb1b7535ce6db9b265cf5ad74a","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae","g__","s__"
"9dfa744f755f7be906f970e3c83447f0","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Cellulomonadaceae","g__","s__"
"4d96ddf53276c79d7f579bf56503beec","k__Bacteria"," p__Bacteroidetes"," c__Flavobacteriia"," o__Flavobacteriales"," f__[Weeksellaceae]"," g__Wautersiella"," s__"
"9ad5bfbb6e2977505c950477dbfb13e5","k__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas","s__"
"24e400954efa29376d2333f049bdc01b","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Microbacteriaceae"," g__Leucobacter"," s__"
"7d4388b1c20be2a4e59e9fea806c445d","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Clostridiaceae"," g__Clostridium"," s__thermopalmarium"
"317a18e70fb9b1aed114a9ed590d40c6","k__Bacteria"," p__Bacteroidetes"," c__[Saprospirae]"," o__[Saprospirales]"," f__Chitinophagaceae","g__","s__"
"8fe758c2959cb41ba1c5ffc79cc72bc1","k__Bacteria"," p__Bacteroidetes"," c__Flavobacteriia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium","s__"
"f6adac0c3535b1498fcef8c0d96d46c8","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Actinomycetales"," f__Micrococcaceae","g__","s__"
"e5cdae39eeb101fc963a26224e15ea8f","k__Bacteria","p__","c__","o__","f__","g__","s__"
"a5e93a3e5301e771771337af20fba467","k__Bacteria"," p__Chloroflexi"," c__Thermomicrobia"," o__JG30-KF-CM45"," f__"," g__"," s__"
"0c86b4f7b19df2eeb374f7a3c700f01c","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Alcaligenaceae"," g__Pusillimonas","s__"
"d52f9914a37955fd181d7341717c712c","k__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Phyllobacteriaceae","g__","s__"
"e57c3e84b410a0373fc4bda2b20de62c","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Coprococcus"," s__"
"b373ca6c8992199d755bd6e47b42f7a5","k__Bacteria"," p__[Thermi]"," c__Deinococci"," o__Deinococcales"," f__Deinococcaceae"," g__Deinococcus"," s__"
