"","X","sample.id","Original.id","Location.Sample.date","Facility","Year","Season","Production","Room","Object","APC","APC_log","keep","APC_bin"
"33",79,"sample-79","8","B.08.2","Facility 2",2022,"Fall","During","Raw","Floor Object",11500,4.06069784035361,TRUE,"Medium"
"34",80,"sample-80","8","B.08.4","Facility 2",2023,"Spring","During","Raw","Floor Object",3160,3.4996870826184,TRUE,"Medium"
"35",81,"sample-81","8","B.08.3","Facility 2",2023,"Winter","During","Raw","Floor Object",22900,4.35983548233989,TRUE,"Medium"
"36",83,"sample-83","E1","B.E1.4","Facility 2",2023,"Spring","During","Filling","Non-FPE Structure",4240,3.62736585659273,TRUE,"Medium"
"37",85,"sample-85","E2","B.E2.4","Facility 2",2023,"Spring","During","Filling","Forklift/Pallet Jack",72000,4.85733249643127,TRUE,"Medium"
"38",87,"sample-87","E4","B.E4.4","Facility 2",2023,"Spring","During","Warehouse","Conveyor",5520,3.7419390777292,FALSE,"Medium"
"39",88,"sample-88","E5","B.E5.4","Facility 2",2023,"Spring","During","Warehouse","Door",8480,3.92839585225671,TRUE,"Medium"
"40",89,"sample-89","E6","B.E6.4","Facility 2",2023,"Spring","During","Warehouse","Non-FPE Structure",7040,3.84757265914211,TRUE,"Medium"
"41",91,"sample-91","E8","B.E8.4","Facility 2",2023,"Spring","During","Office/Hallway","Floor Object",7440,3.87157293554588,TRUE,"Medium"
"42",95,"sample-97","E10","NL.E10.3","Facility 3",2023,"Winter","During","Warehouse","Drain",8520,3.9304395947667,TRUE,"Medium"
"43",96,"sample-98","E11","NL.E11.2","Facility 3",2022,"Fall","During","Filling","FPE Structure",1440,3.15836249209525,FALSE,"Medium"
